algo_id,n1000_ab_time_us,n1000_abt_view_time_us,n1024_ab_time_us,n1024_abt_view_time_us,n2048_ab_time_us,n2048_abt_view_time_us
6,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA
20,NA,NA,28.767359256744385,26.691200733184814,162.1945571899414,155.31968116760254
21,NA,NA,NA,8.249599933624268,NA,26.698880195617676
23,NA,14.397439956665039,NA,14.402559995651245,NA,45.12703895568848
39,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA
64,32.843520641326904,23.90399932861328,38.964478969573975,32.84543991088867,136.8575954437256,100.41919708251953
70,NA,NA,8.587520122528076,7.541760206222534,14.4268798828125,14.41215991973877
71,NA,NA,8.837119936943054,7.673599720001221,12.371200323104858,12.40064024925232
